Kategorija,Tekstas
Lietuvoje,Po Rusijos pareiškimų nustebino Vakarų elgesys: Putinas įvarė save į kampą
Verslas,"„Ukmergės duonos“ direktorė apie situaciją rinkose: kalba eina net ne apie kainų kilimą, o apie pasaulinį badą"
Užsienyje,Karas Ukrainoje. Rusų žiniasklaida: Ukrainoje sučiuptiems britams ir marokiečiui – mirties bausmė
Lietuvoje,Skelbia apie perimtus rusų karių pokalbius: atskleidžiami žiaurūs planai
Užsienyje,Žiniasklaida: dėl popiežiaus – sumaištis Vatikane
Video,"Transliacija / Į pasaulio kraštą. Iš uosto į uostą, iš salos - į salą"
Veidai,"Į Italiją grįžę „Måneskin“ pasidalijo nuotraukomis iš Lietuvos: parodė, kaip siautulingai juos sutiko mūsų tautiečiai"
Nuomonės,Arūnas Milašius. Vasariška žinia – brangios lietuviškos atostogos atšaukiamos
Užsienyje,Kyjivą nuo rusų tankų kolonos išgelbėjo 15-metis
Sportas,„Z” raidę ant podiumo demonstravęs Rusijos gimnastas kyla į kontrataką
Verslas,Dalis kasdienių prekių kai kuriems jau prabanga: pigo tik du produktai
Lietuvoje,Po chaoso ir desperacijos Seime – prieštaringi vertinimai: pasisakė ir apie Nausėdą
Kultūra,Literatūrologas Kvietkauskas apie Venclovų namų–muziejaus likimą: šios erdvės ištrynimas – vandalizmo aktas
Veidai,4-ąją klasę baigusi Andriaus Rimiškio dukra šventėje pelnė reikšmingą apdovanojimą: tėvai netveria džiaugsmu
Lietuvoje,„Bayraktar“ istorijoje – intriguojanti detalė: dėmesį patraukė ne tik Ukrainai dovanojamas orlaivis
Užsienyje,Karas Ukrainoje. Ukrainos kariams – grasinantys pranešimai iš Rusijos
Užsienyje,Žurnalisto klausimą Turkijoje išgirdęs Lavrovas sutriko: pakartokit?
Veidai,Su vyru skiriasi vieno turtingiausių Lietuvos verslininkų dukra – Agnietė Pitkauskienė
Lietuvoje,Po Rusijos pareiškimų nustebino Vakarų elgesys: Putinas įvarė save į kampą
Vasara,"Perspėja, kad artinasi didelė audra: turėtų kliūti visai Lietuvai"
Lietuvoje,Opozicija pateikė reikalavimus valdantiesiems: vien ministro atleidimu neapsiriboja
Lietuvoje,Po chaoso ir desperacijos Seime – prieštaringi vertinimai: pasisakė ir apie Nausėdą
Lietuvoje,Po Vokietijos pažadų Lietuvai – ne vienas perspėjimas: kodėl džiaugtis dar per anksti
Lietuvoje,Skelbia apie perimtus rusų karių pokalbius: atskleidžiami žiaurūs planai
Lietuvoje,"STT tiria Šiaulių savivaldybės įmonės 1,6 mln. eurų vertės viešojo pirkimo aplinkybes"
Lietuvoje,"Dėl paso eilėje Vilniuje laukia ir po 5 valandas – įspėja, kad tvarka keisis"
Lietuvoje,"Rudelienė: Seimo pirmininkė turi pasitikėjimą parlamente, o tam patikrinti yra galimos procedūros"
Lietuvoje,Pranešus apie klaikų vaizdą regioniniame parke – įžūlus aplinkosaugininkų vado atsakymas
Lietuvoje,Blinkevičiūtė kreipiasi į valdančiuosius: šių peštynių žmonės nesupras
Lietuvoje,Valdantieji neplanuoja vykdyti opozicijos reikalavimų: kviečia nustumti emocijas
Lietuvoje,"Įvertino, ar Merkel turi atsiprašyti už glaudžius santykius su Rusija: viskas daug sudėtingiau"
Lietuvoje,"Ministerijos sprendimu, ukrainiečiai laikinai apgyvendinami Alytuje ir Kaune – Vilniuje liks humanitarinė pagalba"
Lietuvoje,Lenkai teigia diakritinių ženklų į dokumentus negalintys įrašyti ir po teismo sprendimo
Lietuvoje,"Teisingumo ministerijai perimant Probacijos tarnybą, jos vadovu išliks Ostanavičius"
Lietuvoje,"Konservatoriai netruko sureaguoti į kritiką: apgailestauju, kad prezidento klausa selektyvi"
Lietuvoje,Navickas: opozicija atsakomybę turėtų prisiimti ir sau
Lietuvoje,Šimonytė – apie opozicijos paskelbtą boikotą: savo darbą vis tiek turi dirbti
Lietuvoje,Nausėda sureagavo į Seime kilusias audras: tokios situacijos nesame matę jau keletą dešimtmečių
Lietuvoje,Įvertino dar vieną prieš Lietuvą nukreiptą Rusijos psichozę: kai kurių politikų vieta zoologijos sode
Lietuvoje,Seimas įsipareigojo palaikyti Ukrainą iki pergalės
Lietuvoje,Reikšmingam partijų susitarimui – priekaištai dar nepasiekus finišo: užkliuvo punktas apie Rusiją ir Kiniją
Lietuvoje,Landsbergis užsiminė apie naujas bausmes Kremliui: laukia sunkus uždavinys
Lietuvoje,Opozicijos ultimatumų sąrašas plečiasi: reikalauja ne tik Navicko atstatydinimo
Lietuvoje,Opozicija susirinko posėdžiauti Kovo 11-osios salėje – svarsto reikalavimus valdantiesiems
Lietuvoje,"Karo ekspertai: rusai sukoncentravo pastangas užimti du svarbius miestus, padėtis – sudėtinga"
Lietuvoje,"Rusijos puolamieji pajėgumai – ne tokie, kokių tikėjosi: tai nustebino net Europos ekspertus"
Lietuvoje,Opozicija boikotuoja Seimo posėdžius: tai buvo paskutinis lašas
Lietuvoje,"COVID-19 Lietuvoje: per parą nustatyta 216 užsikrėtimo atvejų, mirė vienas žmogus"
Melas,Skleidžia melagingą informaciją – esą beždžionių raupai yra skiepų žalos priedanga
Iš dalies melas,Brazilai vaizdo įraše džiaugiasi ne dėl Bolsonaro priešinimosi PSO iniciatyvoms
Melas,"Platina netikrą „Time“ viršelį, siekdami pažeminti Zelenskį"
Iš dalies melas,"Netiesa, kad ukrainiečiai iš Bulgarijos viešbučių išvaromi nes „įgriso bulgarams“"
Melas,"Prie gėdos stulpo vyras buvo pririštas ne todėl, kad atsisakė atiduoti automobilį"
Iš dalies melas,"Klaidina, kad beždžionių raupai – lytiškai plintanti, homoseksualių vyrų liga"
Melas,Platina suklastotą Schwabo nuotrauką
Melas,Pašauto drono „Bayraktar“ nuotrauką klaidingai sieja su įvykiais Ukrainoje
Melas,"Pandemija lengvėja, bet gąsdinimas dėl vakcinų nemažta"
Melas,"Beprotiška teorija: į vieną supynė COVID-19, skiepus, AIDS ir Rusiją bei Ukrainą"
Iš dalies melas,Skleidžia paniką apie iš kalėjimų paleidžiamus kalinius ir naudoja seną nuotrauką
Iš dalies tiesa,Liūdnai pagarsėjęs epidemiologas prabilo apie beždžionių raupus
Klaipėda,Klaipėdos paplūdimius jau aplankė pirmieji atostogautojai
Šiauliai,Atgimsta Pakruojo festivalis – kvies drauge sutikti Joninių savaitgalį
Vilnius,Nuo šiandien – dar vieni pokyčiai Vilniaus gatvėse: atsiranda A+ eismo juostos
Panevėžys,Panevėžio paplūdimiai jau parengti vasaros sezonui
